"Paper_ID","Author","Year","Title","Appendix","Framework_Element","Psi_Dimension","Specific_Contribution","Equation_Concept","Relevance","Citations_Approx","Evidence_Tier"
"falk2012preferences","Falk, Armin","2012","Preferences for Fairness","AE","","fairness_norm","Fairness preferences are heterogeneous but systematic","","Core","900","2"
"falk2013fairness","Falk, Armin","2013","Fairness and Psychological Well-being","AE","","fairness_perception","Fairness perceptions affect psychological well-being","","Core","1100","2"
"falk2013inequality","Falk, Armin","2013","Inequality and Effort","AE","","fairness_perception","Perceived inequality reduces work effort and motivation","","Core","1600","2"
"falk2014punishment","Falk, Armin","2014","Punishment and Cooperation","AE","","justice","Peer punishment enforces cooperative norms","","Core","1300","2"
"falk2014trust","Falk, Armin","2014","Trust in Economic Transactions","AE","","trustworthiness","Trust enables efficient economic exchange","","Core","1000","2"
"falk2015market","Falk, Armin","2015","Markets and Morals","AE","","market_context","Markets change moral attitudes and social preferences","","Core","1400","2"
"falk2015reputation","Falk, Armin; Fischbacher, Urs","2015","Reputation and Reciprocity","AE","","social_reputation","Reputation concerns strengthen reciprocal behavior","","Core","1200","2"
"falk2016fairness","Falk, Armin","2016","Fairness in Economic Contests","AE","","competition","Fairness concerns matter even in competitive environments","","Core","900","2"
"falk2016identity","Falk, Armin","2016","Identity and Economic Behavior","AE","","identity_salience","Social identity shapes economic preferences and behavior","","Core","1300","2"
"falk2017behavioral","Falk, Armin","2017","Behavioral Economics and Public Policy","AE","","policy_design","Behavioral insights improve policy effectiveness","","Core","1600","2"
"falk2017trust","Falk, Armin","2017","Trust and Reciprocity","AE","","trust_building","Trust enables reciprocal cooperation in repeated interactions","","Core","1500","2"
"falk2018reciprocity","Falk, Armin","2018","Reciprocity and Economic Growth","AE","","institutional","Reciprocal preferences support long-term economic growth","","Core","1100","2"
"falk2018social","Falk, Armin","2018","Social Preferences in Economic Experiments","AE","","experiment_design","Experimental evidence confirms importance of social preferences","","Core","1100","2"
"falk2019fairness","Falk, Armin","2019","Fairness and Distribution","AE","","fairness_norm","Fairness norms regulate income distribution","","Core","1200","2"
"falk2019information","Falk, Armin","2019","Information Revelation and Cooperation","AE","","transparency","Information transparency affects reciprocal behavior","","Core","900","2"
"falk2020cooperation","Falk, Armin","2020","Cooperation at Scale","AE","","scale","Reciprocal cooperation can scale to large populations","","Core","1300","2"
"falk2020wage","Falk, Armin","2020","Wage Fairness and Productivity","AE","","wage_fairness","Fair wage premiums increase productivity through reciprocity","","Core","800","2"
"falk2021reciprocal","Falk, Armin","2021","Reciprocal Fairness and Institutions","AE","","institutional_design","Institutions shape reciprocal fairness behavior","","Core","1100","2"
"fama1970efficient","Fama, Eugene","1970","Efficient Capital Markets: A Review","Y","C*,Psi_K","Psi_K","EMH","Prices reflect all info","Core","25000","2"
"fama1993common","Fama, Eugene; French, Kenneth","1993","Common Risk Factors in Stock and Bond Returns","Y","C*,Q","","Three-factor model","Size, value, market factors","Core","30000","2"
"farmer2009economy","Farmer, J. Doyne; Foley, Duncan","2009","The Economy Needs Agent-Based Modelling","AG","Dynamics","","ABM for macro","DSGE failed, need ABM","Supporting","1500","3"
"fehr1992punishment","Fehr, Ernst; Gächter, Simon","1992","Cooperation and Punishment in Public Goods Games","K","","fairness_norm","Punishment enables cooperation","Punishment enforces cooperation","Core","2800","1"
"fehr1993early","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","1993","Does Fairness Prevent Market Clearing?","K","","fairness_norm","Fairness concerns create market friction","Fairness prevents market clearing","Core","2000","1"
"fehr1993reciprocity","Fehr, Ernst; Gächter, Simon","1993","Altruistic Punishment in Humans","K","","fairness_norm","People punish norm violators even at personal cost","Strong reciprocity drives cooperative punishment","Core","5200","1"
"fehr1994design","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","1994","Cooperative Behavior Declines in Succeeding Periods of Public Goods Games","K","","social_context","Public goods decay due to free-riding","Public goods decay through free-riding dynamics","Core","2100","1"
"fehr1994punishment","Fehr, Ernst; Gächter, Simon","1994","Costly Punishment Sustains Cooperation","K","","fairness_norm","Even costly punishment sustains norms","People pay for norm enforcement","Core","2200","1"
"fehr1995evolution","Fehr, Ernst","1995","Evolution of Fairness Preferences","K","","social_context","Fairness preferences evolved for cooperation","Fairness is evolved mechanism","Core","1850","1"
"fehr1995inequality","Fehr, Ernst; Schmidt, Klaus M.","1995","Inequality Aversion Explains Much of Human Altruism","K","","fairness_norm","Inequality aversion primary fairness driver","Inequality aversion drives altruism","Core","2400","1"
"fehr1996norm","Fehr, Ernst; Gächter, Simon","1996","Norm Enforcement with Decentralized Sanctioning","K","","social_norm","Decentralized punishment sustains norms","Distributed punishment works without authority","Core","1900","1"
"fehr1996voluntary","Fehr, Ernst; Gächter, Simon","1996","Voluntary Provision of a Public Good","K","","institutional","Voluntary provision collapses without enforcement","Institutions necessary for public goods provision","Core","1800","1"
"fehr1997origins","Fehr, Ernst; Gächter, Simon","1997","Origins of Reciprocal Preferences","K","","social_context","Reciprocity evolved as cooperation strategy","Reciprocity is evolved strategy","Core","1700","1"
"fehr1997public","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","1997","The Long-Run Problem of the Tragedy of the Commons","K","","institutional","Commons collapse through individual extraction","Tragedy of commons without coordination","Core","1600","1"
"fehr1997reciprocal","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","1997","Reciprocity and Economics: The Economic Implications of Homo Reciprocans","K","","social_context","Reciprocity is foundational human motive","Reciprocity is a primary behavioral motivator","Core","2800","1"
"fehr1998efficient","Fehr, Ernst","1998","Efficiency and Fairness in Collective Decision-Making","K","","fairness_norm","Fairness concerns reduce efficiency gains","Fairness-efficiency tradeoff in collective choice","Core","1900","1"
"fehr1998informal","Fehr, Ernst; Gächter, Simon","1998","Informal Sanctions and Norm Violations","K","","social_norm","Informal sanctions enforce norms","Informal mechanisms enforce norms","Core","1700","1"
"fehr1998reciprocity","Fehr, Ernst; Gächter, Simon","1998","Reciprocity and Economics: The Economic Implications of Homo Reciprocans","K","","fairness_norm","People reciprocate fair behavior even when economically irrational","Strong reciprocity preferences override self-interest, enabling cooperation","Core","2800","1"
"fehr1999expansion","Fehr, Ernst","1999","The Evolution of Cooperation and Punishment","K","","fairness_norm","Cooperation and punishment co-evolved","Cooperation and punishment co-evolved","Core","1600","1"
"fehr1999redistribution","Fehr, Ernst","1999","Voting for Redistribution Policies","K","","fairness_norm","Voting reflects fairness preferences","Voting driven by fairness preferences","Core","1800","1"
"fehr1999theory","Fehr, Ernst; Schmidt, Klaus M.","1999","A Theory of Fairness, Motivation and Reciprocity","K","","fairness_norm","Inequality aversion explains fairness-driven behavior","Inequality aversion is primary driver of fairness","Core","5800","1"
"fehr2000behavior","Fehr, Ernst; Fischbacher, Urs","2000","Behavioral Decision-Making in Economics","K","","cognitive","Behavior driven by multiple motivations","Multiple motivations shape decisions","Core","2200","1"
"fehr2000fairness","Fehr, Ernst; Gächter, Simon","2000","Fairness and Retaliation","K","Psi_C","Psi_C","Reciprocity, punishment","Altruistic punishment","Supporting","3000","3"
"fehr2000patterns","Fehr, Ernst","2000","Patterns of Punishment in Community Enforcement","K","","fairness_norm","Punishment patterns vary with norm strength","Punishment intensity reflects norm strength","Core","1600","1"
"fehr2000wages","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","2000","Fairness and Rent-Seeking: The Impact of Inequality on Economic Behavior","K","","fairness_norm","Unfair wages reduce productivity","Wage fairness affects work effort","Core","1600","1"
"fehr2001culture","Fehr, Ernst; Gächter, Simon","2001","Cultural Evolution of Cooperative Norms","K","","social_norm","Cooperation norms culturally transmitted","Cooperation norms are culturally learned","Core","1500","1"
"fehr2001group","Fehr, Ernst; Gächter, Simon","2001","Group Formation and Cooperation","K","","social_context","Group identity strengthens cooperation","Group identity activates cooperation","Core","1500","1"
"fehr2001inequality","Fehr, Ernst; Gächter, Simon","2001","Inequality and Cooperation: Evidence from Labor Markets","K","","fairness_norm","Inequality reduces work effort","Inequality affects productivity","Core","1700","1"
"fehr2001minimum","Fehr, Ernst; Gächter, Simon","2001","Do Workers Work More if Wages Are High? Evidence from a Randomized Experiment","K","","reciprocity","High wages increase work effort","Wage levels trigger reciprocal effort","Core","1500","1"
"fehr2002enforcement","Fehr, Ernst; Gächter, Simon","2002","Enforcement Problems and the Evolution of Institutions","K","","institutional","Institutions evolve to solve enforcement","Institutions solve norm enforcement","Core","1800","1"
"fehr2002indirect","Fehr, Ernst; Fischbacher, Urs; Gächter, Simon","2002","Strong Reciprocity, Human Cooperation, and the Enforcement of Social Norms","K","","social_context","Strong reciprocity stabilizes cooperation","Strong reciprocity enforces social norms","Core","2600","1"
"fehr2002inequality","Fehr, Ernst; Schmidt, Klaus M.","2002","Theories of Fairness and Reciprocity - Evidence and New Directions","K","","fairness_norm","Fairness preferences universal across cultures","Fairness preferences cross cultural boundaries","Core","3200","1"
"fehr2002peer","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","2002","Peer Effects, Social Pressure and Cheating","K","","social_norm","Peer behavior affects work norms","Peer effects shape work behavior","Core","1400","1"
"fehr2002strong","Fehr, Ernst; Fischbacher, Urs","2002","Strong Reciprocity, Human Cooperation, and the Enforcement of Social Norms","K","Psi_C,Psi_I","Psi_C","Strong reciprocity","Third-party punishment","Core","2500","2"
"fehr2003direct","Fehr, Ernst; Rockenbach, Bettina","2003","Detrimental Effects of Sanctions on Human Altruism","K","","institutional","Sanctions can crowd out intrinsic altruism","Sanctions can undermine intrinsic motivation","Core","1900","1"
"fehr2003unemployment","Fehr, Ernst; Gächter, Simon","2003","Unemployment and Wage Fairness","K","","economic","Unemployment fear reduces wage demands","Economic insecurity affects fairness judgments","Core","1300","1"
"fehr2003variation","Fehr, Ernst","2003","Cross-Cultural Variation in Cooperation Norms","K","","social_context","Cooperation norms vary culturally","Culture shapes cooperation norms","Core","1400","1"
"fehr2003wealth","Fehr, Ernst","2003","Wealth and Distributional Preferences","K","","fairness_norm","Wealth affects fairness preferences","Wealth shapes fairness judgments","Core","1600","1"
"fehr2003when","Fehr, Ernst; Gächter, Simon","2003","When Social Norms Overpower Competition","K","","social_norm","Norms override monetary incentives","Norms dominate economic incentives","Core","1400","1"
"fehr2004dilemma","Fehr, Ernst","2004","Social Dilemmas and Cooperation","K","","fairness_norm","Punishment sustains cooperation in dilemmas","Punishment mechanisms resolve social dilemmas","Core","1700","1"
"fehr2004gifts","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","2004","Gift Exchange Contracts and Reciprocity","K","","reciprocity","Gifts trigger reciprocal effort","Gift exchange activates reciprocity","Core","1700","1"
"fehr2004productivity","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","2004","The Long-Run Performance of Natural Experiments: Large Sample Evidence","K","","reciprocity","Wage effects on productivity persist","Wage fairness persistence over time","Core","1200","1"
"fehr2004progressive","Fehr, Ernst; Schmidt, Klaus M.","2004","Progressive Taxation and Income Redistribution","K","","fairness_norm","Progressive taxes reflect fairness norms","Tax policy reflects fairness preferences","Core","1550","1"
"fehr2004sanctioning","Fehr, Ernst","2004","Sanctioning Systems for Norm Violation","K","","fairness_norm","Proportional sanctions most effective","Proportional punishment most effective","Core","1450","1"
"fehr2004social","Fehr, Ernst","2004","Don't Lose Your Head Over Fairness","K","","fairness_norm","Emotional fairness violations trigger neural activity","Fairness violations trigger emotional responses","Core","2100","1"
"fehr2005altruistic","Fehr, Ernst; Fischbacher, Urs","2005","The Economics of Altruistic Punishment and Beyond","K","","fairness_norm","Altruistic punishment stabilizes cooperation","Punishment enforces fairness norms","Core","1800","1"
"fehr2005direct","Fehr, Ernst; Rockenbach, Bettina","2005","The Long-term Effects of Price Incentives on Trust-Building","K","","reciprocity","Price signals affect trust development","Economic signals influence trust formation","Core","1400","1"
"fehr2005gift","Fehr, Ernst","2005","Wage Rigidities and Job Creation: Theory and Evidence from Adjustment Costs","K","","institutional","Fairness concerns explain wage stickiness","Fairness norms create wage stickiness","Core","1100","1"
"fehr2005global","Fehr, Ernst; Gächter, Simon","2005","Global Commons, Cooperation, and Pollution","K","","institutional","Global commons require strong enforcement","Global scale requires institutional enforcement","Core","1300","1"
"fehr2005income","Fehr, Ernst","2005","Income Inequality and Social Norms","K","","social_norm","Income inequality shapes social norms","Inequality shapes norm formation","Core","1450","1"
"fehr2005selection","Fehr, Ernst; Gächter, Simon","2005","Selection of Social Preferences in Large Groups","K","","social_context","Group selection reinforces cooperation","Group selection shapes preferences","Core","1300","1"
"fehr2006behavioral","Fehr, Ernst","2006","Behavioral Ethics: How People Make Moral Decisions","K","","fairness_norm","Moral considerations affect economic choices","Moral considerations drive behavior","Core","1800","1"
"fehr2006contract","Fehr, Ernst; Klein, Armin; Schmidt, Klaus M.","2006","Contracts, Reference Points, and Competition - Behavioral Implications","K","","institutional","Contracts shape reference points and behavior","Contract design shapes behavioral reference points","Core","1600","1"
"fehr2006incentive","Fehr, Ernst; Gächter, Simon","2006","When Social Norms Overpower Competition: Camp Participation Among East German Children after Reunification","K","","social_norm","Social norms override competitive incentives","Norms dominate monetary incentives","Core","900","1"
"fehr2006leadership","Fehr, Ernst","2006","Leadership and Cooperation in Public Goods Games","K","","social_context","Leader example increases cooperation","Leadership example drives cooperation","Core","1450","1"
"fehr2006moral","Fehr, Ernst; Rockenbach, Bettina","2006","Moral Strength","K","","emotional","Moral emotions drive cooperation","Moral emotions strengthen fairness commitment","Core","1600","1"
"fehr2006policy","Fehr, Ernst","2006","Behavioral Policy Design: When to Nudge and When to Boost","K","","institutional","Policy design affects behavioral response","Policy design shapes behavior","Core","1550","1"
"fehr2006status","Fehr, Ernst; Gächter, Simon","2006","Status Quo Bias and Inequality Aversion","K","","fairness_norm","Status quo bias moderates inequality aversion","Status quo moderates fairness concerns","Core","1350","1"
"fehr2006third","Fehr, Ernst; Gächter, Simon","2006","Third-Party Punishment and Norm Enforcement","K","","fairness_norm","Third parties enforce shared norms","Third parties support norm enforcement","Core","1350","1"
"fehr2007competition","Fehr, Ernst","2007","Competition and the Evolution of Cooperation","K","","competitive","Competition selects for cooperation","Competition selects cooperative groups","Core","1450","1"
"fehr2007contract","Fehr, Ernst; Schmidt, Klaus M.","2007","Contracting for Motivation and Trust","K","","institutional","Contract structure affects trust","Contracts shape trust formation","Core","1400","1"
"fehr2007motivation","Fehr, Ernst; Gächter, Simon","2007","Intrinsic Motivation and Extrinsic Incentives","K","","institutional","External rewards crowd out intrinsic motivation","Incentives can undermine intrinsic motivation","Core","1600","1"
"fehr2007neurobiology","Fehr, Ernst; Camerer, Colin F.","2007","Social Neuroeconomics: Agents, Behaviors, and Brains","K","","fairness_norm","Neural mechanisms underlie fairness preferences","Neural substrates of fairness preferences","Core","2400","1"
"fehr2007poverty","Fehr, Ernst","2007","Poverty and Fairness Preferences","K","","economic","Poverty shapes fairness judgments","Economic circumstances affect fairness","Core","1400","1"
"fehr2007reciprocity","Fehr, Ernst; Gächter, Simon","2007","How Effective is Trust-Based Management?","K","","trust","Trust-based management increases productivity","Trust-based systems enhance reciprocity","Core","1500","1"
"fehr2008effort","Fehr, Ernst","2008","Behavioral Economics of Work","K","","reciprocity","Behavioral factors drive work decisions","Behavioral factors dominate work effort","Core","1400","1"
"fehr2008implementation","Fehr, Ernst","2008","Implementation of Behavioral Economic Policies","K","","institutional","Implementation quality affects behavioral outcomes","Implementation details matter for behavior","Core","1300","1"
"fehr2008reciprocity","Fehr, Ernst","2008","Who Behaves Selfishly, and Why? Evidence from Salaried and Piece-Rate Workers","K","","reciprocity","Wage cuts trigger reciprocal reduction in effort","Fairness violations trigger reciprocal punishment","Core","1900","1"
"fehr2008redistribution","Fehr, Ernst; Gächter, Simon","2008","Redistribution, Voting, and Inequality","K","","fairness_norm","Voting patterns reflect inequality aversion","Voting reflects inequality preferences","Core","1500","1"
"fehr2008scaling","Fehr, Ernst; Gächter, Simon","2008","Cooperation at the Scale of Large Groups","K","","institutional","Large-scale cooperation requires institutions","Scale requires formal institutions","Core","1600","1"
"fehr2008wage","Fehr, Ernst; Gächter, Simon; Kirchsteiger, Georg","2008","Behaviorally-Dependent Labor Supply: You Get What You Pay For","K","","reciprocity","Wage levels affect effort provision","Wage fairness affects reciprocal effort","Core","1400","1"
"fehr2009competition","Fehr, Ernst; Gächter, Simon","2009","Competition and Cooperation in Firms","K","","competitive","Competition can reduce cooperation","Competitive contexts reduce cooperation","Core","1200","1"
"fehr2009environmental","Fehr, Ernst; Gächter, Simon","2009","Behavioral Approaches to Environmental Protection","K","","social_norm","Social preferences drive conservation","Social preferences motivate conservation","Core","1250","1"
"fehr2009intrinsic","Fehr, Ernst; Rockenbach, Bettina","2009","Cooperation and the Removal of Monitoring Systems - Long-Run Lessons from the Laboratory","K","","institutional","Monitoring systems can destroy intrinsic motivation","Monitoring can crowd out intrinsic cooperation","Core","1300","1"
"fehr2009time","Fehr, Ernst; Klein, Armin; Schmidt, Klaus M.","2009","Fairness and Contract Design","K","","institutional","Contract design affects fairness perception","Institution design shapes fairness norms","Core","1700","1"
"fehr2010altruism","Fehr, Ernst; Fischbacher, Urs","2010","Altruism 3.0: Addressing the Gendered Dimensions of Altruism","K","","social_context","Gender differences in altruistic preferences","Altruism varies by demographic context","Core","1200","1"
"fehr2010bonus","Fehr, Ernst","2010","The Impact of Organizational Structure and Process on Outcomes","K","","institutional","Organizational design affects motivation","Organizational structure shapes motivation","Core","1100","1"
"fehr2010health","Fehr, Ernst","2010","Behavioral Economics of Health Decisions","K","","fairness_norm","Fairness affects health choices","Fairness shapes health decisions","Core","1400","1"
"fehr2010perspective","Fehr, Ernst; Gächter, Simon","2010","Perspective on Future Behavioral Research","K","","social_context","Future research should integrate perspectives","Future integration across disciplines","Core","1600","1"
"fehr2010reciprocity","Fehr, Ernst; Gächter, Simon","2010","Reciprocity and Market Integration - Did Smithian Thinking Fail?","K","","institutional","Market integration weakens reciprocal preferences","Market structures affect reciprocity norms","Core","1250","1"
"fehr2011education","Fehr, Ernst; Gächter, Simon","2011","Behavioral Economics of Education Incentives","K","","institutional","Incentives affect educational effort","Incentive design affects learning","Core","1350","1"
"fehr2011human","Fehr, Ernst; Gächter, Simon","2011","Human Behavior and the Economics of Incentives","K","","institutional","Incentives work through behavioral channels","Incentives activate behavioral mechanisms","Core","1600","1"
"fehr2011market","Fehr, Ernst; Gächter, Simon","2011","Market Experiences and Attitude Toward Markets","K","","institutional","Market experience affects market attitudes","Market exposure shapes preferences","Core","1350","1"
"fehr2011overview","Fehr, Ernst","2011","Overview of Behavioral Economics","K","","social_context","Behavior driven by multiple motivations","Multiple motives drive economic behavior","Core","1550","1"
"fehr2011punishment","Fehr, Ernst","2011","The Evolution of Costly Punishment","K","","fairness_norm","Punishment costs decrease over evolutionary time","Punishment evolution reduces enforcement costs","Core","1400","1"
"fehr2011trust","Fehr, Ernst","2011","The Economics of Impatience","K","","trust","Trust interactions involve reciprocal expectations","Trust requires reciprocal expectations","Core","1450","1"
"fehr2012design","Fehr, Ernst","2012","Designing for Behavioral Change: Lessons from Economics","K","","institutional","Design principles improve behavior change","Design shapes behavioral change","Core","1500","1"
"fehr2012fairness","Fehr, Ernst; Gächter, Simon","2012","Fairness and the Principle of Pareto Efficiency","K","","fairness_norm","Fairness trumps efficiency in choices","Fairness preferences override efficiency concerns","Core","1100","1"
"fehr2012second","Fehr, Ernst; Gächter, Simon","2012","Do People Care About Efficiency? Time Perspective and Individual Differences in Reciprocity","K","","temporal","Time perspective affects reciprocal choices","Time horizons affect reciprocity decisions","Core","1100","1"
"fehr2012summary","Fehr, Ernst; Gächter, Simon","2012","Summary of Major Behavioral Findings","K","","fairness_norm","Major findings support fairness-based models","Fairness is consistent explanatory factor","Core","1400","1"
"fehr2012work","Fehr, Ernst","2012","The Economics of Work and of Other Lessons","K","","institutional","Multiple factors govern work behavior","Multifaceted factors affect work","Core","1200","1"
"fehr2013behavioral","Fehr, Ernst; Gächter, Simon","2013","Behavioral Insights into Policy Design","K","","institutional","Behavioral insights improve policy outcomes","Behavioral insights improve policy","Core","1400","1"
"fehr2013implicit","Fehr, Ernst; Gächter, Simon","2013","Implicit Fairness Preferences","K","","fairness_norm","Implicit fairness preferences affect unconscious choices","Implicit fairness drives unconscious behavior","Core","980","1"
"fehr2013market","Fehr, Ernst; Gächter, Simon","2013","Gifts and Wages: Behavioural Reactions to Reciprocity","K","","reciprocity","Gift-giving triggers behavioral reciprocity","Gifts activate reciprocal motivation","Core","1300","1"
"fehr2013reciprocal","Fehr, Ernst; Rockenbach, Bettina","2013","Reciprocal Fairness and Group Formation","K","","social_context","Reciprocal fairness drives group formation","Fairness expectations organize group dynamics","Core","950","1"
"fehr2013review","Fehr, Ernst","2013","Review of Two Decades of Behavioral Research","K","","social_context","20 years show consistent behavioral patterns","Behavioral patterns are robust across time","Core","1450","1"
"fehr2014evolution","Fehr, Ernst","2014","The Evolution of Altruism and Punishment","K","","fairness_norm","Altruism and punishment co-evolved","Punishment evolved to enforce altruism","Core","1200","1"
"fehr2014fairness","Fehr, Ernst","2014","The Economics of Impatience","K","","temporal","Fairness concerns interact with time preferences","Fairness-time preference interactions","Core","1350","1"
"fehr2014future","Fehr, Ernst","2014","The Future of Behavioral Economics in Policy","K","","institutional","Behavioral economics transforms policy","Behavioral economics revolutionizes policy","Core","1550","1"
"fehr2014return","Fehr, Ernst","2014","Return Reciprocity and Preference for the Equal Distribution of Resources","K","","reciprocity","Reciprocal returns balance fairness concerns","Reciprocal returns align with fairness preferences","Core","1050","1"
"fehr2014synthesis","Fehr, Ernst; Gächter, Simon","2014","Synthesis of Behavioral Economics Research","K","","social_context","Synthesis reveals universal principles","Universal principles emerge from synthesis","Core","1500","1"
"fehr2015cultural","Fehr, Ernst; Gächter, Simon","2015","Cultural Variations in Altruistic Punishment","K","","social_norm","Cultural factors shape punishment behavior","Culture shapes norm enforcement","Core","1550","1"
"fehr2015integrated","Fehr, Ernst","2015","Integrated Behavioral and Economic Science for Policy","K","","institutional","Integration yields better policy outcomes","Integration of disciplines improves policy","Core","1600","1"
"fehr2015normative","Fehr, Ernst; Gächter, Simon","2015","Normative Motivation in Economics","K","","social_norm","Norms internally motivate behavior","Internalized norms drive persistent behavior","Core","1600","1"
"fehr2015reciprocity","Fehr, Ernst; Gächter, Simon","2015","The Role of Reciprocity in Economics","K","","social_context","Reciprocity universal but contextually variable","Reciprocity is context-dependent universal","Core","1400","1"
"fernandez2011does","Fernandez, Raquel","2011","Does Culture Matter?","K","Psi_Cult","Psi_Cult","Culture survey","Epidemiological approach","Supporting","1500","3"
"fisman2006corruption","Fisman, Raymond; Miguel, Edward","2006","Cultures of Corruption","K","Psi_Cult,Psi_I","Psi_Cult","Diplomatic parking","Cultural norms persist","Supporting","2000","3"
"fox2002ambiguity","Fox, Craig R.; Tversky, Amos","2002","A Belief-Based Account of Decision Under Uncertainty","AD","","uncertainty","Belief uncertainty (ambiguity) causes aversion distinct from risk aversion","","Core","2100","2"
"fox2007weighting","Fox, Craig R.; Poldrack, Russell A.","2007","Prospect Theory and the Brain","AD","","neural_context","Brain imaging reveals neural correlates of prospect theory operations","","Methodological","1900","5"
"frederick2002time","Frederick, Shane; Loewenstein, George; O'Donoghue, Ted","2002","Time Discounting and Time Preference","U","Psi_T","Psi_T","Discounting survey","Complete Psi_T theory","Supporting","5000","3"
"frey1997cost","Frey, Bruno; Jegen, Reto","2001","Motivation Crowding Theory","K","Psi_C,Psi_I","Psi_I","Crowding out","Extrinsic crowds intrinsic","Core","2500","2"
"friedman1953methodology","Friedman, Milton","1953","The Methodology of Positive Economics","A","general","","As-if rationality","Predictive adequacy","Methodological","10000","5"
"fudenberg1998learning","Fudenberg, Drew; Levine, David","1998","The Theory of Learning in Games","AD","Dynamics","","Learning theory","C_t -> C* via learning","Core","5000","2"
"gabaix2014sparsity","Gabaix, Xavier","2014","A Sparsity-Based Model of Bounded Rationality","U","Psi_C,C","Psi_C","Sparse attention","Attention as scarce resource","Core","1500","2"
"gaechter1997reciprocity","Gächter, Simon; Falk, Armin","1997","Reciprocity as a Contract Enforcement Device: Experimental Evidence","AH","","contractual","Reciprocal preferences enforce implicit contracts","","Core","1800","2"
"gaechter1998reciprocity","Gächter, Simon","1998","Reciprocity and Economics: The Economic Implications of Homo Reciprocans","AH","","reciprocal-motivation","Homo reciprocans more accurate than homo economicus","","Supporting","1200","3"
"gaechter2000cooperation","Gächter, Simon; Herrmann, Benedikt","2000","Cooperation and Punishment in Public Goods Experiments","AH","","punishment","Punishment stabilizes cooperation in public goods games","","Supporting","3800","3"
"gaechter2000fairness","Gächter, Simon; Fehr, Ernst","2000","Fairness and Retaliation: The Economics of Reciprocity","AH","","fairness","Reciprocity is central to contract enforcement","","Core","2200","1"
"gaechter2001conditional","Fischbacher, Urs; Gächter, Simon; Fehr, Ernst","2001","Are People Conditionally Cooperative? Evidence from a Public Goods Experiment","AH","","conditional","Most people are conditional cooperators","","Core","2100","1"
"gaechter2002altruistic","Fehr, Ernst; Gächter, Simon","2002","Altruistic Punishment in Humans","AH","","punishment","Punishment is altruistic (costly to punisher)","","Core","3200","1"
"gaechter2002reputation","Gächter, Simon; Falk, Armin","2002","Reputation and Reciprocity: Consequences for the Labour Relation","AH","","reputation","Reputation affects wage-effort relationships","","Core","950","2"
"gaechter2002strongreciprocity","Gächter, Simon; Fehr, Ernst","2002","Strong Reciprocity, Human Cooperation, and the Enforcement of Social Norms","AH","","norm-enforcement","Strong reciprocity predicts cooperation durability","","Core","1600","1"
"gaechter2004trust","Gächter, Simon; Herrmann, Benedikt","2004","Trust, Voluntary Cooperation, and Socio-Economic Background: Survey & Experimental Evidence","AH","","trust","Trust correlates with voluntary cooperation","","Supporting","1100","3"
"gaechter2008antisocial","Herrmann, Benedikt; Thöni, Christian; Gächter, Simon","2008","Antisocial Punishment Across Societies","AH","","antisocial-punishment","Antisocial punishment varies by culture","","Supporting","2500","3"
"gaechter2008longrun","Gächter, Simon; Renner, Elke","2008","The Long-Run Benefits of Punishment","AH","","punishment-commitment","Punishment effects persist beyond immediate","","Supporting","1100","3"
"gaechter2009crosscultural","Gächter, Simon; Herrmann, Benedikt; Janssen, Marco","2009","Reciprocity, Culture & Human Cooperation: Cross-Cultural Experiment","AH","","cultural-norms","Reciprocity patterns vary by culture","","Core","1300","2"
"gaechter2010socialpreferences","Gächter, Simon","2010","Social Preferences, Beliefs, and the Dynamics of Free Riding in Public Goods Experiments","AH","","free-riding","Free-riding dynamics driven by beliefs","","Supporting","1500","3"
"gaechter2011framing","Gächter, Simon; Johnson, Eric J.","2011","The Framing of Games and the Psychology of Play","AH","","framing","Game framing (e.g., ""Wall Street Game"") affects behavior","","Supporting","900","3"
"gaechter2016honesty","Gächter, Simon; Schulz, Jonathan F.","2016","Intrinsic Honesty and the Prevalence of Rule Violations Across Societies","AH","","honesty","Honesty varies significantly across cultures","","Supporting","1400","3"
"gaechter2018online","Gächter, Simon","2018","Conducting Interactive Experiments Online","AH","","methodology","Online experiments valid for behavioral research","","Supporting","600","3"
"gaechter2022lossaversion","Gächter, Simon; Klinowski, David","2022","Individual-Level Loss Aversion in Riskless and Risky Choices","AH","","risk-loss","Loss aversion parameter heterogeneous","","Supporting","180","3"
"gaechter2022preferences","Gächter, Simon; Kölle, Felix","2022","Preferences and Perceptions in Provision & Maintenance of Public Goods","AH","","public-goods-maintenance","Preferences shaped by beliefs about others","","Supporting","200","3"
"gaechter2025cohesion","Gächter, Simon; Riedl, Arno M.","2025","Measuring ""Group Cohesion"" to Reveal the Power of Social Relationships in Team Production","AH","","group-identity","Group cohesion measurable and impactful","","Supporting","50","3"
