key,strategy,journal_found,journal_superkey,era,pattern,lookup_source,predictability_rate,reason,journal,year,volume,issue,pages
reynolds2021prompt,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: arXiv preprint arXiv:2102.07350,arXiv preprint arXiv:2102.07350,2021,,,
kadavath2022language,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: arXiv preprint arXiv:2207.05221,arXiv preprint arXiv:2207.05221,2022,,,
smith1962,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1962,70,2,111--137
smith1976,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1976,66,2,274--279
smith1982institutions,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1982,72,5,923--955
smith1988bubbles,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1988,56,5,1119--1151
smith2003nobel,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,2003,93,3,465--508
plottsmith2008,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2008,1,,
gale1962college,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: American Mathematical Monthly,American Mathematical Monthly,1962,69,1,9--15
roth1984evolution,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1984,92,6,991--1016
roth1991game,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1991,,,
roth1994jumping,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1994,84,4,992--1044
roth2004kidney,LOOKUP,True,JRN-1093-QJE,MIT Press,,CrossRef,0.01,LONG_CODE pattern in MIT Press era - not predictable,Quarterly Journal of Economics,2004,119,2,457--488
roth2007efficient,PATTERN,True,JRN-1257-AER,Modern,10.1257/aer.{volume}.{issue}.{startpage},,0.92,Predictable pattern for Modern era,American Economic Review,2007,97,3,828--851
roth2007repugnance,PATTERN,True,JRN-1257-JEP,Modern,10.1257/jep.{volume}.{issue}.{startpage},,0.96,Predictable pattern for Modern era,Journal of Economic Perspectives,2007,21,3,37--58
roth2015gets,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2015,,,
schelling1960,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1960,,,
vanhuyck1991,LOOKUP,True,JRN-1093-QJE,JSTOR Legacy,,JSTOR,0.01,NUMERIC pattern in JSTOR Legacy era - not predictable,Quarterly Journal of Economics,1991,106,3,885--910
cooper1992communication,LOOKUP,True,JRN-1093-QJE,JSTOR Legacy,,JSTOR,0.01,NUMERIC pattern in JSTOR Legacy era - not predictable,Quarterly Journal of Economics,1992,107,2,739--771
mehta1994focal,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1994,84,3,658--673
straub1995risk,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Quarterly Review of Economics and Finance,Quarterly Review of Economics and Finance,1995,35,4,339--363
rotherev1995,LOOKUP,True,JRN-1016-GEB,Academic Press,,CrossRef,0.75,OTHER pattern in Academic Press era - not predictable,Games and Economic Behavior,1995,8,1,164--212
erevandorth1998,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1998,88,4,848--881
camererho1999,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1999,67,4,827--874
fudenberglevine1998,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1998,,,
cooperkagel2003,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,2003,93,2,202--207
axelrod1984,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1984,,,
fudenbergmaskin1986,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1986,54,3,533--554
dalbofrechette2018,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,2018,,,
camera2009,PATTERN,True,JRN-1257-AER,Modern,10.1257/aer.{volume}.{issue}.{startpage},,0.92,Predictable pattern for Modern era,American Economic Review,2009,99,3,979--1005
gneezy2005,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,2005,95,1,384--394
fischbacher2013,LOOKUP,True,JRN-1093-JEEA,Wiley,,CrossRef,0.0,OTHER pattern in Wiley era - not predictable,Journal of the European Economic Association,2013,11,3,525--547
abeler2019,LOOKUP,True,JRN-3982-ECTA,Econometric Society,,CrossRef,0.05,ALPHA_NUM pattern in Econometric Society era - not predictable,Econometrica,2019,87,4,1115--1153
mazar2008,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of Marketing Research,Journal of Marketing Research,2008,45,6,633--644
kajackas2009,PATTERN,True,JRN-1016-GEB,Modern Elsevier,10.1016/j.geb.{year}.{month}.{article},,0.75,Predictable pattern for Modern Elsevier era,Games and Economic Behavior,2017,102,,433--444
friedman1953,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1953,,,
becker1976,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1976,,,
lucas1976,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Carnegie-Rochester Conference Series on Public Policy,Carnegie-Rochester Conference Series on Public Policy,1976,1,,19--46
reder1982,PATTERN,True,JRN-1257-JEL,Modern,10.1257/jel.{volume}.{issue}.{startpage},,0.71,Predictable pattern for Modern era,Journal of Economic Literature,1982,20,1,1--38
vanhorn2009,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,2009,,,139--180
vanhorn2011,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2011,,,
burgin2012,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2012,,,
medema2023chicago,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of the History of Economic Thought,Journal of the History of Economic Thought,2023,45,3,341--369
blaug1992,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1992,,,
blaug2003formalist,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of the History of Economic Thought,Journal of the History of Economic Thought,2003,25,2,145--156
hands2001,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2001,,,
hausman1992,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1992,,,
caldwell1980,LOOKUP,True,JRN-1111-EJ,JSTOR Legacy,,JSTOR,0.27,NUMERIC pattern in JSTOR Legacy era - not predictable,Southern Economic Journal,1980,47,2,366--374
yonay1998,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1998,,,
backhouse2017,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: History of Political Economy,History of Political Economy,2017,49,Supplement,1--33
fourcade2009,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2009,,,
angrist2010credibility,PATTERN,True,JRN-1257-JEP,Modern,10.1257/jep.{volume}.{issue}.{startpage},,0.96,Predictable pattern for Modern era,Journal of Economic Perspectives,2010,24,2,3--30
hall1976,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Unpublished manuscript,Unpublished manuscript,1976,,,
colander2009crisis,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Critical Review,Critical Review,2009,21,2-3,249--267
stigler1961,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1961,69,3,213--225
fama1970,LOOKUP,True,JRN-1111-JF,JSTOR Legacy,,JSTOR,0.75,NUMERIC pattern in JSTOR Legacy era - not predictable,Journal of Finance,1970,25,2,383--417
koopmans1957,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1957,,,
romer2015,PATTERN,True,JRN-1257-AER,Modern,10.1257/aer.{volume}.{issue}.{startpage},,0.92,Predictable pattern for Modern era,American Economic Review,2015,105,5,89--93
simmons2011,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Psychological Science,2011,22,11,1359--1366
rosenthal1979,PATTERN,True,JRN-1037-PBULL,APA,10.1037/0033-2909.{volume}.{issue}.{startpage},,0.8,Predictable pattern for APA era,Psychological Bulletin,1979,86,3,638--641
polanyi1966,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1966,,,
kuhn1962,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1962,,,
collins1985,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1985,,,
collins2014,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Philosophical Transactions of the Royal Society B,Philosophical Transactions of the Royal Society B,2014,,,
gigerenzer2001bounded,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2001,,,
gigerenzer1987cognition,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1987,,,
gigerenzer2007gut,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2007,,,
lazear2000,LOOKUP,True,JRN-1093-QJE,MIT Press,,CrossRef,0.01,LONG_CODE pattern in MIT Press era - not predictable,Quarterly Journal of Economics,2000,115,1,99--146
lawson2006nature,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Cambridge Journal of Economics,Cambridge Journal of Economics,2006,30,4,483--505
davis2008heterodox,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,2008,,,53--72
davis2019specialization,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: European Journal of the History of Economic Thought,European Journal of the History of Economic Thought,2019,26,2,271--293
colander2004changing,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Review of Political Economy,Review of Political Economy,2004,16,4,485--499
ellison2002slowdown,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2002,110,5,947--993
ellison2002standards,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2002,110,5,994--1034
azar2007slowdown,PATTERN,True,JRN-1111-EI,Wiley,10.1111/j.1465-7295.{year}.{suffix}.x,,0.5,Predictable pattern for Wiley era,Economic Inquiry,2007,45,1,179--187
hadavand2022career,PATTERN,True,JRN-1111-EI,Wiley,10.1111/j.1465-7295.{year}.{suffix}.x,,0.5,Predictable pattern for Wiley era,Economic Inquiry,2022,60,2,561--573
kuhn1962,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1962,,,
stanovich2011,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2011,,,
mischel2008,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: APS Observer,APS Observer,2008,21,,
merton1968,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1968,,,
giddens1984,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1984,,,
collins1994,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1994,,,
olson1965,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1965,,,
hall1996,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Political Studies,Political Studies,1996,44,5,936--957
lewin1947,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Human Relations,Human Relations,1947,1,1,5--41
kotter1996,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1996,,,
abrahamson1996,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Academy of Management Review,Academy of Management Review,1996,21,1,254--285
mascolell1995,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1995,,,
angristpischke2009,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2009,,,
lavoie2014,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2014,,,
hodgson2004,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2004,,,
rogers1962diffusion,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1962,,,
popper1959logic,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: N/A,,1959,,,
manski1977identification,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Theory and Decision,Theory and Decision,1977,8,3,229--254
mcfadden1974conditional,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Frontiers in Econometrics,Frontiers in Econometrics,1974,,,105--142
fehr2002cooperation,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2002,110,4,817--838
thaler2015misbehaving,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2015,,,
thaler2015mental,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,Learning from Decisions,2015,,,
sunstein2015simplifying,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of Benefit-Cost Analysis,Journal of Benefit-Cost Analysis,2015,6,1,32--61
nosek2018registered,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Proceedings of the National Academy of Sciences,2018,115,11,2600--2606
camerer2018evaluating,PATTERN,True,JRN-1257-AER,Modern,10.1257/aer.{volume}.{issue}.{startpage},,0.92,Predictable pattern for Modern era,American Economic Review,2018,106,5,375--80
open2015estimating,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Science,2015,349,6251,
button2013power,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Nature Reviews Neuroscience,2013,14,5,365--376
bland1995multiple,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: British Medical Journal,British Medical Journal,1995,310,6973,170
angrist2010mostly,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2010,,,
montoya2003extensions,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: International Journal of Mobile Communications,International Journal of Mobile Communications,2003,1,2,143--157
bronfenbrenner1979ecology,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1979,,,
funder2014evaluating,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Advances in Methods and Practices in Psychological Science,2014,2,2,156--168
fehr2026wp01,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,,2026,,WP-2026-01,
crokidakis2025conclave,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: arXiv preprint,arXiv preprint,2025,,,
soda2025network,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Social Networks,Social Networks,2025,83,,1--25
antonioni2025totopapa,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: arXiv preprint,arXiv preprint,2025,,,
baumgartner2003locked,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2003,,,
prevost2026psf,SKIP,False,,,,,0.0,Entry type 'misc' - not a journal article,,2026,,,
JonesMolitorReif2025,SKIP,False,,,,,0.0,Entry type 'unpublished' - not a journal article,,2025,,,
sutter2007trust,PATTERN,True,JRN-1016-GEB,Modern Elsevier,10.1016/j.geb.{year}.{month}.{article},,0.75,Predictable pattern for Modern Elsevier era,Games and Economic Behavior,2007,59,2,364--382
chowdhury2022preferences,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2022,130,9,2361--2410
kocher2008conditional,PATTERN,True,JRN-1016-EL,Elsevier,10.1016/j.econlet.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Economics Letters,2008,101,3,175--178
kocher2005decision,PATTERN,True,JRN-1111-EJ,Wiley,10.1111/j.1468-0297.{year}.{suffix}.x,,0.27,Predictable pattern for Wiley era,Economic Journal,2005,115,500,200--223
sutter2005four,PATTERN,True,JRN-1016-EL,Elsevier,10.1016/j.econlet.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Economics Letters,2005,88,1,41--46
kugler2007trust,PATTERN,True,JRN-1016-JOEP,Elsevier,10.1016/j.joep.{year}.{month}.{article},,1.0,Predictable pattern for Elsevier era,Journal of Economic Psychology,2007,28,6,646--657
luhan2009polarization,LOOKUP,True,JRN-1007-EXPEC,Springer,,CrossRef,0.14,ALPHA_NUM pattern in Springer era - not predictable,Experimental Economics,2009,12,1,26--41
sutter2009communication,PATTERN,True,JRN-1016-GEB,Modern Elsevier,10.1016/j.geb.{year}.{month}.{article},,0.75,Predictable pattern for Modern Elsevier era,Games and Economic Behavior,2009,66,1,506--525
guth2007leading,PATTERN,True,JRN-1016-JPUBE,Elsevier,10.1016/j.jpubeco.{year}.{month}.{article},,1.0,Predictable pattern for Elsevier era,Journal of Public Economics,2007,91,5-6,1023--1042
rivas2011leadership,PATTERN,True,JRN-1016-EL,Elsevier,10.1016/j.econlet.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Economics Letters,2011,112,2,176--178
sutter2019economic,PATTERN,True,JRN-1016-EER,Elsevier,10.1016/j.euroecorev.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,European Economic Review,2019,111,,98--121
sutter2018language,PATTERN,True,JRN-1016-EER,Elsevier,10.1016/j.euroecorev.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,European Economic Review,2018,106,,21--34
alan2024female,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Management Science,2024,,,
heinz2020indirect,PATTERN,True,JRN-1111-EJ,Wiley,10.1111/j.1468-0297.{year}.{suffix}.x,,0.27,Predictable pattern for Wiley era,Economic Journal,2020,130,632,2546--2568
barron2023discrimination,PATTERN,True,JRN-1162-REST,MIT Press,10.1162/rest.{volume}.{issue}.{startpage},,1.0,Predictable pattern for MIT Press era,Review of Economics and Statistics,2023,105,4,1008--1016
acemoglu2006economic,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,Cambridge University Press,2006,,,
acemoglu2012whynations,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,Crown Business,2012,,,
acemoglu2016networks,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,Handbook of Network Economics,2016,,,
acemoglu2020ai,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2020,,,
acemoglu2023power,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,PublicAffairs,2023,,,
aghion1992model,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,1992,null,null,
aghion2004endogenous,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,MIT Press,1998,,,
aghion2005handbook,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,2005,null,null,
aghion2009effects,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2009,,,
aghion2011growth,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,MIT Press,2009,,,
aghion2020effects,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2020,,,
aghion2021power,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,Harvard University Press,2021,,,
aja_et_al_2014_student_debt,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Dissent Magazine,Dissent Magazine,2014,,,
akerlof1978tapered,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1980,70,5,
akerlof1983loyalty,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1983,73,1,
akerlof1984gift,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1984,74,2,
akerlof1987efficiency,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1988,78,2,
akerlof1989economics_illusion,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1985,75,4,
akerlof1991hesitancy,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1982,72,3,
akerlof1991procrastination,LOOKUP,True,JRN-1257-AER,AEA Code,,CrossRef,0.92,LONG_CODE pattern in AEA Code era - not predictable,American Economic Review,1991,81,2,
akerlof2000men_jobs,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2000,,,
akerlof2010identity,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,2010,null,null,
akerlof2010norms,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2010,,,
akerlof2015phishing,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,Princeton University Press,2015,,,
akerlof2017exploitation,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2016,,,
alesina2013origins,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,2013,null,null,
altonji2005selection,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,2005,null,null,
ambuhl2016risk,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2016,,,
ambuhl2017motivated,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2017,,,
ambuhl2017welfare,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2017,,,
ambuhl2019transaction,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2019,,,
ambuhl2020autonomy,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2020,,,
ambuhl2021experimental,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2021,,,
ambuhl2022donors,SKIP,False,,,,,0.0,Entry type 'techreport' - not a journal article,Working Paper,2022,,,
anchoring1974tversky,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Science,1974,,,
angrist1996identification,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,1996,null,null,
ariely2001cheating,PATTERN,True,JRN-1016-JEBO,Modern Elsevier,10.1016/j.jebo.{year}.{month}.{article},,0.12,Predictable pattern for Modern Elsevier era,Journal of Economic Behavior \& Organization,2001,,,
ariely2005pain,PATTERN,True,JRN-1016-JEBO,Modern Elsevier,10.1016/j.jebo.{year}.{month}.{article},,0.12,Predictable pattern for Modern Elsevier era,Journal of Economic Behavior \& Organization,2005,,,
ariely2006on,PATTERN,True,JRN-1016-JEBO,Modern Elsevier,10.1016/j.jebo.{year}.{month}.{article},,0.12,Predictable pattern for Modern Elsevier era,Journal of Economic Behavior \& Organization,2006,,,
ariely2007expensive,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Psychological Science,2007,,,
ariely2010cognitive,LOOKUP,True,JRN-1126-SCI,All Years,,Publisher/CrossRef,0.0,OTHER pattern in All Years era - not predictable,Psychological Science,2010,,,
ariely2011upside,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Harper,Harper,2011,,,
ariely2012behavioral,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of Consumer Policy,Journal of Consumer Policy,2012,,,
ariely2014dollars,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Harper,Harper,2014,,,
ariely2015payoff,PATTERN,True,JRN-1016-JEBO,Modern Elsevier,10.1016/j.jebo.{year}.{month}.{article},,0.12,Predictable pattern for Modern Elsevier era,Journal of Economic Behavior \& Organization,2015,,,
ariely2016pain,LOOKUP,True,JRN-1037-PREV,APA,,CrossRef,0.0,"Missing required fields for pattern: volume, issue, pages",Psychological Review,2016,,,
ariely2017irrationality,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Harvard Business Review,Harvard Business Review,2017,,,
ariely2018the,PATTERN,True,JRN-1016-JEBO,Modern Elsevier,10.1016/j.jebo.{year}.{month}.{article},,0.12,Predictable pattern for Modern Elsevier era,Journal of Economic Behavior \& Organization,2018,,,
ariely2019mind,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Simon \& Schuster,Simon \& Schuster,2019,,,
athey2017state,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,2017,null,null,
atkinson1970measurement,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,1970,null,null,
atkinson2015inequality,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: null,null,2015,null,null,
autor1998computing,LOOKUP,True,JRN-1093-QJE,MIT Press,,CrossRef,0.01,LONG_CODE pattern in MIT Press era - not predictable,Quarterly Journal of Economics,1998,,,
autor2007fall,LOOKUP,True,JRN-1257-JEP,Modern,,CrossRef,0.96,"Missing required fields for pattern: volume, issue, pages",Journal of Economic Perspectives,2007,,,
autor2008jobs,LOOKUP,True,JRN-1257-JEP,Modern,,CrossRef,0.96,"Missing required fields for pattern: volume, issue, pages",Journal of Economic Perspectives,2008,,,
autor2009new,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Harvard University Press,Harvard University Press,2009,,,
autor2010disappearing,LOOKUP,True,JRN-1257-AER,Modern,,CrossRef,0.92,"Missing required fields for pattern: volume, issue, pages",American Economic Review,2010,,,
autor2011fading,LOOKUP,True,JRN-1257-AER,Modern,,CrossRef,0.92,"Missing required fields for pattern: volume, issue, pages",American Economic Review,2011,,,
autor2012unmet,LOOKUP,True,JRN-1257-JEP,Modern,,CrossRef,0.96,"Missing required fields for pattern: volume, issue, pages",Journal of Economic Perspectives,2012,,,
autor2013declining,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of Human Resources,Journal of Human Resources,2013,,,
autor2014work,LOOKUP,True,JRN-1257-AER,Modern,,CrossRef,0.92,"Missing required fields for pattern: volume, issue, pages",American Economic Review,2014,,,
autor2015rise,LOOKUP,True,JRN-1257-JEP,Modern,,CrossRef,0.96,"Missing required fields for pattern: volume, issue, pages",Journal of Economic Perspectives,2015,,,
autor2016wage,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,2016,,,
autor2017income,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Princeton University Press,Princeton University Press,2017,,,
autor2017unraveling,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Harvard Kennedy School,Harvard Kennedy School,2017,,,
autor2018skill,LOOKUP,True,JRN-1257-JEL,Modern,,CrossRef,0.71,"Missing required fields for pattern: volume, issue, pages",Journal of Economic Literature,2018,,,
autor2019decline,LOOKUP,True,JRN-1093-QJE,Oxford Modern,,CrossRef,0.01,ALPHA_NUM pattern in Oxford Modern era - not predictable,Quarterly Journal of Economics,2019,,,
autor2019future,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: National Bureau of Economic Research,National Bureau of Economic Research,2019,,,
autor2020why,LOOKUP,True,JRN-1257-JEP,Modern,,CrossRef,0.96,"Missing required fields for pattern: volume, issue, pages",Journal of Economic Perspectives,2020,,,
autor2021labor,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Harvard University,Harvard University,2021,,,
