rank,paper_id,bibtex_key,title,first_author,year,doi,journal,content_level,integration_level,prior_score,has_full_text,linked_cases,has_theory_support,use_for_count,priority_score,upload_action,researcher,fetch_urls
48,PAP-kahneman2001robust,kahneman2001robust,Robust Decisions and By Default,Kahneman,2001,null,,L2,I3,0.2176,False,297,True,1,505.9,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Robust Decisions and By Default filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
49,PAP-ariely2008predictably,ariely2008predictably,Predictably Irrational: The Hidden Forces That Shape Our Dec...,Ariely,2008,10.1093/acprof:oso/9780195305930.001.0001,,L2,I3,0.2138,False,258,True,3,505.7,UPLOAD_FULLTEXT,"{'name': 'Dan Ariely', 'department': {'url': 'https://faculty.fuqua.duke.edu/~dandan/', 'site_pattern': 'duke.edu', 'institution': 'Duke University', 'search_hint': 'Predictably Irrational: The Hidden Forces That Shape Our Dec filetype:pdf site:duke.edu'}, 'personal': {'url': 'https://danariely.com/resources/academic-papers/', 'site_pattern': 'danariely.com', 'search_hint': 'Predictably Irrational: The Hidden Forces That Shape Our Dec filetype:pdf site:danariely.com'}}","['https://api.unpaywall.org/v2/10.1093/acprof:oso/9780195305930.001.0001?email=research@fehradvice.com', 'https://doi.org/10.1093/acprof:oso/9780195305930.001.0001']"
50,PAP-camerer2004neuroeconomics,camerer2004neuroeconomics,Neuroeconomics: Why Economics Needs Brains,Camerer,2004,null,,L2,I3,0.2138,False,258,True,2,505.7,UPLOAD_FULLTEXT,"{'name': 'Colin Camerer', 'department': {'url': 'https://www.hss.caltech.edu/content/colin-f-camerer', 'site_pattern': 'caltech.edu', 'institution': 'Caltech', 'search_hint': 'Neuroeconomics: Why Economics Needs Brains filetype:pdf site:caltech.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
51,PAP-fehr2013review,fehr2013review,Review of Two Decades of Behavioral Research,Fehr,2013,null,,L2,I3,0.214,False,68,True,2,505.7,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Review of Two Decades of Behavioral Research filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
52,PAP-thaler1980toward,thaler1980toward,Toward a Positive Theory of Consumer Choice,Thaler,1980,10.1016/0167-2681(80)90051-7,,L2,I3,0.2138,False,71,True,2,505.7,UPLOAD_FULLTEXT,"{'name': 'Richard Thaler', 'department': {'url': 'https://faculty.chicagobooth.edu/richard-thaler/research', 'site_pattern': 'chicagobooth.edu', 'institution': 'Chicago Booth', 'search_hint': 'Toward a Positive Theory of Consumer Choice filetype:pdf site:chicagobooth.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1016/0167-2681(80)90051-7?email=research@fehradvice.com', 'https://doi.org/10.1016/0167-2681(80)90051-7']"
53,PAP-kahneman1988frame,kahneman1988frame,Frame Dependence in Decision-Making,Kahneman,1988,null,,L2,I3,0.2099,False,170,True,1,505.5,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Frame Dependence in Decision-Making filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
54,PAP-fehr2008effort,fehr2008effort,Behavioral Economics of Work,Fehr,2008,null,,L2,I3,0.2019,False,30,True,2,505.1,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Behavioral Economics of Work filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
55,PAP-kahneman1999intuitive,kahneman1999intuitive,Intuitive Prediction: Biases and Corrective Procedures,Kahneman,1999,null,,L2,I3,0.2019,False,230,True,1,505.1,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Intuitive Prediction: Biases and Corrective Procedures filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
56,PAP-fehr1996voluntary,fehr1996voluntary,Voluntary Provision of a Public Good,Fehr,1996,null,,L2,I3,0.1983,False,21,True,3,504.9,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Voluntary Provision of a Public Good filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
57,PAP-fehr2011punishment,fehr2011punishment,The Evolution of Costly Punishment,Fehr,2011,null,,L2,I3,0.1942,False,84,True,2,504.7,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'The Evolution of Costly Punishment filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
58,PAP-ainslie2001breakdown,ainslie2001breakdown,Breakdown of Will,Ainslie,2001,10.1017/CBO9781139173025,,L2,I3,0.1872,False,151,False,1,504.4,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1017/CBO9781139173025?email=research@fehradvice.com', 'https://doi.org/10.1017/CBO9781139173025']"
59,PAP-kahneman1999illusion,kahneman1999illusion,The Illusion of Understanding: Does Exposure Create Affinity...,Kahneman,1999,null,,L2,I3,0.1862,False,68,True,1,504.3,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'The Illusion of Understanding: Does Exposure Create Affinity filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
60,PAP-malmendier2009experiment,malmendier2009experiment,Testing Rational Expectations and Estimating Market Efficiency,Malmendier,2009,,,L2,I3,0.4812,False,40,True,1,504.1,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Ulrike Malmendier', 'department': {'url': 'https://eml.berkeley.edu/~ulrike/research.html', 'site_pattern': 'berkeley.edu', 'institution': 'UC Berkeley', 'search_hint': 'Testing Rational Expectations and Estimating Market Efficien filetype:pdf site:berkeley.edu'}, 'personal': None}",[]
61,PAP-fehr1993reciprocity,fehr1993reciprocity,Does Fairness Prevent Market Clearing? An Experimental Inves...,Fehr,1993,,,L2,I3,0.4441,False,84,True,4,502.2,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Does Fairness Prevent Market Clearing? An Experimental Inves filetype:pdf site:econ.uzh.ch'}, 'personal': None}",[]
62,PAP-camerer2016risk,camerer2016risk,[Title for camerer2016risk],,2016,,,L2,I3,0.3512,False,204,True,3,497.6,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Colin Camerer', 'department': {'url': 'https://www.hss.caltech.edu/content/colin-f-camerer', 'site_pattern': 'caltech.edu', 'institution': 'Caltech', 'search_hint': '[Title for camerer2016risk] filetype:pdf site:caltech.edu'}, 'personal': None}",[]
63,PAP-fehr2007motivation,fehr2007motivation,[Title for fehr2007motivation],,2007,,,L2,I3,0.3316,False,179,True,3,496.6,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': '[Title for fehr2007motivation] filetype:pdf site:econ.uzh.ch'}, 'personal': None}",[]
64,PAP-thaler2011mental,thaler2011mental,Mental Accounting and Debt,Thaler,2011,,,L2,I3,0.2981,False,204,True,2,494.9,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Richard Thaler', 'department': {'url': 'https://faculty.chicagobooth.edu/richard-thaler/research', 'site_pattern': 'chicagobooth.edu', 'institution': 'Chicago Booth', 'search_hint': 'Mental Accounting and Debt filetype:pdf site:chicagobooth.edu'}, 'personal': None}",[]
65,PAP-rabin1993incorporating,rabin1993incorporating,Incorporating Fairness into Game Theory and Economics,Rabin,1993,,,L2,I3,0.2672,False,84,True,2,493.4,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Matthew Rabin', 'department': {'url': 'https://scholar.harvard.edu/rabin/publications', 'site_pattern': 'harvard.edu', 'institution': 'Harvard University', 'search_hint': 'Incorporating Fairness into Game Theory and Economics filetype:pdf site:harvard.edu'}, 'personal': None}",[]
66,PAP-camerer2015ultimatum,camerer2015ultimatum,[Title for camerer2015ultimatum],,2015,,,L2,I3,0.2429,False,84,True,3,492.1,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Colin Camerer', 'department': {'url': 'https://www.hss.caltech.edu/content/colin-f-camerer', 'site_pattern': 'caltech.edu', 'institution': 'Caltech', 'search_hint': '[Title for camerer2015ultimatum] filetype:pdf site:caltech.edu'}, 'personal': None}",[]
67,PAP-camerer2013social,camerer2013social,"Neuroeconomics: Decisions, Uncertainty, and the Brain",Camerer,2013,10.1038/s41562-018-0399-z,,L2,I3,0.4201,False,15,True,3,491.0,UPLOAD_FULLTEXT,"{'name': 'Colin Camerer', 'department': {'url': 'https://www.hss.caltech.edu/content/colin-f-camerer', 'site_pattern': 'caltech.edu', 'institution': 'Caltech', 'search_hint': 'Neuroeconomics: Decisions, Uncertainty, and the Brain filetype:pdf site:caltech.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1038/s41562-018-0399-z?email=research@fehradvice.com', 'https://doi.org/10.1038/s41562-018-0399-z']"
68,PAP-roth2008market,roth2008market,[Title for roth2008market],,2008,,,L2,I3,0.2176,False,176,True,1,490.9,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Alvin Roth', 'department': {'url': 'https://web.stanford.edu/~alroth/papers.html', 'site_pattern': 'stanford.edu', 'institution': 'Stanford University', 'search_hint': '[Title for roth2008market] filetype:pdf site:stanford.edu'}, 'personal': None}",[]
69,PAP-malmendier2010prices,malmendier2010prices,Valuing Behavioral Factors in the Market for Equity Securities,Malmendier,2010,,,L2,I3,0.2058,False,40,True,1,490.3,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Ulrike Malmendier', 'department': {'url': 'https://eml.berkeley.edu/~ulrike/research.html', 'site_pattern': 'berkeley.edu', 'institution': 'UC Berkeley', 'search_hint': 'Valuing Behavioral Factors in the Market for Equity Securiti filetype:pdf site:berkeley.edu'}, 'personal': None}",[]
70,PAP-malmendier2016stock,malmendier2016stock,The,Malmendier,2016,,,L2,I3,0.2058,False,40,True,1,490.3,FIND_DOI;UPLOAD_FULLTEXT,"{'name': 'Ulrike Malmendier', 'department': {'url': 'https://eml.berkeley.edu/~ulrike/research.html', 'site_pattern': 'berkeley.edu', 'institution': 'UC Berkeley', 'search_hint': 'The filetype:pdf site:berkeley.edu'}, 'personal': None}",[]
71,PAP-berg1995trust,berg1995trust,"Trust, Reciprocity, and Social History",Berg,1995,10.1006/game.1995.1027,,L2,I3,0.3553,False,15,True,2,487.8,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1006/game.1995.1027?email=research@fehradvice.com', 'https://doi.org/10.1006/game.1995.1027']"
72,PAP-ariely2009honestly,ariely2009honestly,The Honest Truth About Dishonesty,Ariely,2009,10.1509/jmkr.45.6.633,,L2,I3,0.3401,False,15,True,2,487.0,UPLOAD_FULLTEXT,"{'name': 'Dan Ariely', 'department': {'url': 'https://faculty.fuqua.duke.edu/~dandan/', 'site_pattern': 'duke.edu', 'institution': 'Duke University', 'search_hint': 'The Honest Truth About Dishonesty filetype:pdf site:duke.edu'}, 'personal': {'url': 'https://danariely.com/resources/academic-papers/', 'site_pattern': 'danariely.com', 'search_hint': 'The Honest Truth About Dishonesty filetype:pdf site:danariely.com'}}","['https://api.unpaywall.org/v2/10.1509/jmkr.45.6.633?email=research@fehradvice.com', 'https://doi.org/10.1509/jmkr.45.6.633']"
73,PAP-fehr2006moral,fehr2006moral,Moral Strength,Fehr,2006,null,,L2,I3,0.2099,False,16,True,2,485.5,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Moral Strength filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
74,PAP-fehr2007reciprocity,fehr2007reciprocity,How Effective is Trust-Based Management?,Fehr,2007,null,,L2,I3,0.214,False,15,True,3,480.7,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'How Effective is Trust-Based Management? filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
75,PAP-camerer1989empirical,camerer1989empirical,An Experimental Test of Several Proposed Bid Shading Models ...,Camerer,1989,null,,L2,I3,0.4294,False,12,True,2,476.5,UPLOAD_FULLTEXT,"{'name': 'Colin Camerer', 'department': {'url': 'https://www.hss.caltech.edu/content/colin-f-camerer', 'site_pattern': 'caltech.edu', 'institution': 'Caltech', 'search_hint': 'An Experimental Test of Several Proposed Bid Shading Models  filetype:pdf site:caltech.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
76,PAP-loewenstein2013visceral,loewenstein2013visceral,Visceral States and Behavior,Loewenstein,2013,null,,L2,I3,0.5204,False,11,True,2,476.0,UPLOAD_FULLTEXT,"{'name': 'George Loewenstein', 'department': {'url': 'https://www.cmu.edu/dietrich/sds/people/faculty/george-loewenstein.html', 'site_pattern': 'cmu.edu', 'institution': 'Carnegie Mellon', 'search_hint': 'Visceral States and Behavior filetype:pdf site:cmu.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
77,PAP-fehr1993early,fehr1993early,Does Fairness Prevent Market Clearing?,Fehr,1993,null,,L2,I3,0.4392,False,11,True,3,472.0,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Does Fairness Prevent Market Clearing? filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
78,PAP-allcott2011social,allcott2011social,[Title for allcott2011social],,2011,10.1016/j.jpubeco.2011.03.003,,L2,I3,0.3115,False,12,True,2,470.6,UPLOAD_FULLTEXT,"{'name': 'Hunt Allcott', 'department': {'url': 'https://www.microsoft.com/en-us/research/people/hallcott/', 'site_pattern': 'microsoft.com', 'institution': 'Microsoft Research', 'search_hint': '[Title for allcott2011social] filetype:pdf site:microsoft.com'}, 'personal': {'url': 'https://huntallcott.com/research/', 'site_pattern': 'huntallcott.com', 'search_hint': '[Title for allcott2011social] filetype:pdf site:huntallcott.com'}}","['https://api.unpaywall.org/v2/10.1016/j.jpubeco.2011.03.003?email=research@fehradvice.com', 'https://doi.org/10.1016/j.jpubeco.2011.03.003']"
79,PAP-ariely2007expensive,ariely2007expensive,An Expensive Placebo: The Performance Degradation Effect,Ariely,2007,null,,L2,I3,0.4049,False,11,True,2,470.2,UPLOAD_FULLTEXT,"{'name': 'Dan Ariely', 'department': {'url': 'https://faculty.fuqua.duke.edu/~dandan/', 'site_pattern': 'duke.edu', 'institution': 'Duke University', 'search_hint': 'An Expensive Placebo: The Performance Degradation Effect filetype:pdf site:duke.edu'}, 'personal': {'url': 'https://danariely.com/resources/academic-papers/', 'site_pattern': 'danariely.com', 'search_hint': 'An Expensive Placebo: The Performance Degradation Effect filetype:pdf site:danariely.com'}}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
80,PAP-schultz2007normative,schultz2007normative,"The Constructive, Destructive, and Reconstructive Power of S...",Schultz,2007,10.1111/j.1467-9280.2007.01917.x,,L2,I3,0.4492,False,8,True,1,457.5,UPLOAD_FULLTEXT,"{'name': 'P. Wesley Schultz', 'department': {'url': 'https://schultzlab.sites.claremont.edu/publications/', 'site_pattern': 'claremont.edu', 'institution': 'Claremont Graduate University', 'search_hint': 'The Constructive, Destructive, and Reconstructive Power of S filetype:pdf site:claremont.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1111/j.1467-9280.2007.01917.x?email=research@fehradvice.com', 'https://doi.org/10.1111/j.1467-9280.2007.01917.x']"
81,PAP-sutter2010carrot,sutter2010carrot,Choosing the Carrot or the Stick? Endogenous Institutional Choice in Social Dilemma Situations,Sutter,2010,10.1111/j.1467-937X.2010.00608.x,,L2,I3,0.8948,False,3,True,7,454.7,UPLOAD_FULLTEXT,"{'name': 'Matthias Sutter', 'department': {'url': 'https://www.coll.mpg.de/matthias-sutter', 'site_pattern': 'mpg.de', 'institution': 'Max Planck Institute Bonn', 'search_hint': 'Choosing the Carrot or the Stick? Endogenous Institutional C filetype:pdf site:mpg.de'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1111/j.1467-937X.2010.00608.x?email=research@fehradvice.com', 'https://doi.org/10.1111/j.1467-937X.2010.00608.x']"
82,PAP-aslund2024asylum,aslund2024asylum,Limbo or Leverage? Asylum Waiting and Refugee Integration,Åslund,2024,10.1016/j.jpubeco.2024.105075,,L2,I3,0.8902,False,3,True,7,454.5,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1016/j.jpubeco.2024.105075?email=research@fehradvice.com', 'https://doi.org/10.1016/j.jpubeco.2024.105075']"
83,PAP-balafoutas2018gendergap,balafoutas2018gendergap,Closing the Gender Gap in Competitiveness Through Priming,Balafoutas,2018,10.1038/s41467-018-06896-6,,L2,I3,0.8899,False,3,True,9,454.5,UPLOAD_FULLTEXT,"{'name': 'Loukas Balafoutas', 'department': {'url': 'https://www.uibk.ac.at/economics/personal/balafoutas/', 'site_pattern': 'uibk.ac.at', 'institution': 'University of Innsbruck', 'search_hint': 'Closing the Gender Gap in Competitiveness Through Priming filetype:pdf site:uibk.ac.at'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1038/s41467-018-06896-6?email=research@fehradvice.com', 'https://doi.org/10.1038/s41467-018-06896-6']"
84,PAP-braghieri2022socialmedia,braghieri2022socialmedia,Social Media and Mental Health,"Braghieri, Luca",2022,10.1257/aer.20211218,American Economic Review,L2,I3,0.8899,False,3,True,8,454.5,UPLOAD_FULLTEXT,"{'name': 'Luca Braghieri', 'department': {'url': 'https://www.bocconi.eu/', 'site_pattern': 'bocconi.eu', 'institution': 'Bocconi University', 'search_hint': 'Social Media and Mental Health filetype:pdf site:bocconi.eu'}, 'personal': {'url': 'https://www.lucabraghieri.com/research', 'site_pattern': 'lucabraghieri.com', 'search_hint': 'Social Media and Mental Health filetype:pdf site:lucabraghieri.com'}}","['https://api.unpaywall.org/v2/10.1257/aer.20211218?email=research@fehradvice.com', 'https://doi.org/10.1257/aer.20211218']"
85,PAP-malmendier2018behavioral,malmendier2018behavioral,Behavioral Corporate Finance,Ulrike Malmendier,2018,10.1016/bs.hesbe.2018.07.001,,L2,I3,0.8897,True,3,True,9,454.5,UPGRADE_TO_L3,"{'name': 'Ulrike Malmendier', 'department': {'url': 'https://eml.berkeley.edu/~ulrike/research.html', 'site_pattern': 'berkeley.edu', 'institution': 'UC Berkeley', 'search_hint': 'Behavioral Corporate Finance filetype:pdf site:berkeley.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1016/bs.hesbe.2018.07.001?email=research@fehradvice.com', 'https://doi.org/10.1016/bs.hesbe.2018.07.001']"
86,PAP-sutter2016genderpolicy,sutter2016genderpolicy,Cancelling Out Early Age Gender Differences in Competition: An Analysis of Policy Interventions,Sutter,2016,10.1007/s10683-015-9447-y,,L2,I3,0.8902,False,3,True,8,454.5,UPLOAD_FULLTEXT,"{'name': 'Matthias Sutter', 'department': {'url': 'https://www.coll.mpg.de/matthias-sutter', 'site_pattern': 'mpg.de', 'institution': 'Max Planck Institute Bonn', 'search_hint': 'Cancelling Out Early Age Gender Differences in Competition:  filetype:pdf site:mpg.de'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1007/s10683-015-9447-y?email=research@fehradvice.com', 'https://doi.org/10.1007/s10683-015-9447-y']"
87,PAP-balafoutas2012affirmative,balafoutas2012affirmative,Affirmative Action Policies Promote Women and Do Not Harm Efficiency in the Laboratory,Balafoutas,2012,10.1126/science.1211180,,L2,I3,0.885,False,3,True,8,454.2,UPLOAD_FULLTEXT,"{'name': 'Loukas Balafoutas', 'department': {'url': 'https://www.uibk.ac.at/economics/personal/balafoutas/', 'site_pattern': 'uibk.ac.at', 'institution': 'University of Innsbruck', 'search_hint': 'Affirmative Action Policies Promote Women and Do Not Harm Ef filetype:pdf site:uibk.ac.at'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1126/science.1211180?email=research@fehradvice.com', 'https://doi.org/10.1126/science.1211180']"
88,PAP-east2023deportation,east2023deportation,The Labor Market Effects of Immigration Enforcement,East,2023,10.1086/722388,,L2,I3,0.8848,False,3,True,7,454.2,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1086/722388?email=research@fehradvice.com', 'https://doi.org/10.1086/722388']"
89,PAP-greiff2013cps,greiff2013cps,"Complex Problem Solving in Educational Contexts: Something Beyond g: Concept, Assessment, Measurement Invariance, and Construct Validity",Greiff,2013,10.1037/a0030473,,L2,I3,0.8848,False,3,True,5,454.2,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1037/a0030473?email=research@fehradvice.com', 'https://doi.org/10.1037/a0030473']"
90,PAP-kiviholma2026laborpolicies,kiviholma2026laborpolicies,Labor Policies and Immigrant Employment,Kiviholma,2026,10.1111/joes.70010,,L2,I3,0.885,False,3,True,7,454.2,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1111/joes.70010?email=research@fehradvice.com', 'https://doi.org/10.1111/joes.70010']"
91,PAP-mertens2022nudging,mertens2022nudging,The Effectiveness of Nudging: A Meta-Analysis of Choice Architecture Interventions across Behavioral Domains,"Mertens, Stephanie and Herberz, Mario an",2022,10.1073/pnas.2107346118,Proceedings of the National Academy of Sciences,L2,I3,0.8848,False,3,True,7,454.2,UPLOAD_FULLTEXT,"{'name': 'Stephanie Mertens', 'department': {'url': 'https://www.econ.uzh.ch/', 'site_pattern': 'uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'The Effectiveness of Nudging: A Meta-Analysis of Choice Arch filetype:pdf site:uzh.ch'}, 'personal': {'url': 'https://www.stephaniemertens.com/research', 'site_pattern': 'stephaniemertens.com', 'search_hint': 'The Effectiveness of Nudging: A Meta-Analysis of Choice Arch filetype:pdf site:stephaniemertens.com'}}","['https://api.unpaywall.org/v2/10.1073/pnas.2107346118?email=research@fehradvice.com', 'https://doi.org/10.1073/pnas.2107346118']"
92,PAP-sutter2015gender,sutter2015gender,Gender Differences in the Willingness to Compete Emerge Early in Life and Persist,Sutter,2015,10.1287/mnsc.2014.1981,,L2,I3,0.885,False,3,True,8,454.2,UPLOAD_FULLTEXT,"{'name': 'Matthias Sutter', 'department': {'url': 'https://www.coll.mpg.de/matthias-sutter', 'site_pattern': 'mpg.de', 'institution': 'Max Planck Institute Bonn', 'search_hint': 'Gender Differences in the Willingness to Compete Emerge Earl filetype:pdf site:mpg.de'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1287/mnsc.2014.1981?email=research@fehradvice.com', 'https://doi.org/10.1287/mnsc.2014.1981']"
93,PAP-agersnap2020welfare,agersnap2020welfare,The Welfare Magnet Hypothesis: Evidence from an Immigrant Welfare Scheme in Denmark,Agersnap,2020,10.1257/aeri.20190510,,L2,I3,0.8801,False,3,True,7,454.0,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1257/aeri.20190510?email=research@fehradvice.com', 'https://doi.org/10.1257/aeri.20190510']"
94,PAP-alrababah2024freemovement,alrababah2024freemovement,Free Movement and the Rise of Far-Right Parties,Alrababah,2024,10.1017/S0003055424000285,,L2,I3,0.8799,False,3,True,4,454.0,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1017/S0003055424000285?email=research@fehradvice.com', 'https://doi.org/10.1017/S0003055424000285']"
95,PAP-arendt2022work,arendt2022work,Labor Market Effects of a Work-First Policy for Refugees,Arendt,2022,10.1007/s00148-020-00808-z,,L2,I3,0.8801,False,3,True,7,454.0,UPLOAD_FULLTEXT,,"['https://api.unpaywall.org/v2/10.1007/s00148-020-00808-z?email=research@fehradvice.com', 'https://doi.org/10.1007/s00148-020-00808-z']"
96,PAP-chater2022iframe,chater2022iframe,The i-frame and the s-frame: How focusing on individual-level solutions has led behavioral public policy astray,"Nick Chater, George Loewenstein",2022,10.1017/S0140525X22002023,Behavioral and Brain Sciences,L2,I3,0.8801,True,3,True,9,454.0,UPGRADE_TO_L3,"{'name': 'George Loewenstein', 'department': {'url': 'https://www.cmu.edu/dietrich/sds/people/faculty/george-loewenstein.html', 'site_pattern': 'cmu.edu', 'institution': 'Carnegie Mellon', 'search_hint': 'The i-frame and the s-frame: How focusing on individual-leve filetype:pdf site:cmu.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1017/S0140525X22002023?email=research@fehradvice.com', 'https://doi.org/10.1017/S0140525X22002023']"
97,PAP-hai2025cigarette,hai2025cigarette,The Causal Effects of Youth Cigarette Addiction and Education,"Hai, Rong and Heckman, James J.",2025,10.1086/739828,Journal of Political Economy,L2,I3,0.8801,False,3,True,6,454.0,UPLOAD_FULLTEXT,"{'name': 'James Heckman', 'department': {'url': 'https://www.chicagobooth.edu/faculty/directory/h/james-j-heckman', 'site_pattern': 'uchicago.edu', 'institution': 'University of Chicago', 'search_hint': 'The Causal Effects of Youth Cigarette Addiction and Educatio filetype:pdf site:uchicago.edu'}, 'personal': {'url': 'https://heckmanequation.org/resource-library/', 'site_pattern': 'heckmanequation.org', 'search_hint': 'The Causal Effects of Youth Cigarette Addiction and Educatio filetype:pdf site:heckmanequation.org'}}","['https://api.unpaywall.org/v2/10.1086/739828?email=research@fehradvice.com', 'https://doi.org/10.1086/739828']"
